,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖北省,420000,咸宁市,421200,17.303523
1,2002,湖北省,420000,咸宁市,421200,17.33414035
2,2003,湖北省,420000,咸宁市,421200,17.07608765
3,2004,湖北省,420000,咸宁市,421200,17.5861833
4,2005,湖北省,420000,咸宁市,421200,17.21861035
5,2006,湖北省,420000,咸宁市,421200,17.74730168
6,2007,湖北省,420000,咸宁市,421200,17.95049562
7,2008,湖北省,420000,咸宁市,421200,17.35953953
8,2009,湖北省,420000,咸宁市,421200,17.54853461
9,2010,湖北省,420000,咸宁市,421200,17.19417633
10,2011,湖北省,420000,咸宁市,421200,17.03677992
11,2012,湖北省,420000,咸宁市,421200,16.73645081
12,2013,湖北省,420000,咸宁市,421200,17.95589441
13,2014,湖北省,420000,咸宁市,421200,17.44594528
14,2015,湖北省,420000,咸宁市,421200,17.48323325
15,2016,湖北省,420000,咸宁市,421200,17.71222355
16,2017,湖北省,420000,咸宁市,421200,17.79121175
17,2018,湖北省,420000,咸宁市,421200,17.8895903
18,2019,湖北省,420000,咸宁市,421200,17.88244873
19,2020,湖北省,420000,咸宁市,421200,17.70988916
20,2021,湖北省,420000,咸宁市,421200,18.35153305
21,2022,湖北省,420000,咸宁市,421200,15.36981621
